,AD2D,AP2DC,CDK,CDKExt,CDKGraph,Combined,EState,KRFP,KRFPC,MACCS,PubChem,SubFP,SubFPC
AD2D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AP2DC,1.0,1.0,0.1937270948567797,1.0,1.0,1.0,0.5758834284855687,1.0,1.0,1.0,1.0,1.0,0.5452932705918871
CDK,1.0,0.1937270948567797,1.0,1.0,1.0,1.0,1.0,0.29316422005187537,0.5452932705918881,1.0,1.0,1.0,1.0
CDKExt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CDKGraph,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Combined,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EState,1.0,0.5758834284855687,1.0,1.0,1.0,1.0,1.0,0.836686041181637,1.0,1.0,1.0,1.0,1.0
KRFP,1.0,1.0,0.29316422005187537,1.0,1.0,1.0,0.836686041181637,1.0,1.0,1.0,1.0,1.0,0.7939316967031133
KRFPC,1.0,1.0,0.5452932705918881,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MACCS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PubChem,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SubFP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SubFPC,1.0,0.5452932705918871,1.0,1.0,1.0,1.0,1.0,0.7939316967031133,1.0,1.0,1.0,1.0,1.0
